ID,Tên,Phân loại,Mã loại,Cấp,Giới tính,Tbi 2,Mô tả
326,Huyền Thiết Ngoa,Giày,8,61,Nữ,,
327,Huyền Thiết Hạ Giáp,Quần,6,63,Nữ,,
328,Huyền Thiết Thủ,Găng tay,4,65,Nữ,,
329,Huyền Thiết Thượng Giáp,Áo,2,67,Nữ,,
330,Huyền Thiết Trâm,Nón,0,69,Nữ,,
331,Ly Hỏa kiếm,Vũ khí,1,60,Cả hai,,
332,Thái dương tiêu,Vũ khí,1,60,Cả hai,,
333,Long khảm Dao,Vũ khí,1,60,Cả hai,,
334,Đoạt tâm cung,Vũ khí,1,60,Cả hai,,
335,Chấn thiên Đao,Vũ khí,1,60,Cả hai,,
336,Âm phong quạt,Vũ khí,1,60,Cả hai,,
337,Mặt nạ thỏ,Mặt nạ,11,20,Nam,,"Chỉ xuất hiên trong mùa trung thu, số lượng có hạn"
338,Mặt nạ thỏ,Mặt nạ,11,20,Nữ,,"Chỉ xuất hiên trong mùa trung thu, số lượng có hạn"
339,Điện thoại  LG T375,Vật phẩm thường,27,1,Cả hai,,Liên hệ đường dây nóng 19006610 để biết thêm về cách nhận thưởng.
340,Phiếu may mắn,Vật phẩm thường,27,1,Cả hai,,
341,Điện thoại Nokia Asha,Vật phẩm thường,27,1,Cả hai,,Liên hệ đường dây nóng 19006610 để biết thêm về cách nhận thưởng.
342,Điện thoại Nokia lumia 520,Vật phẩm thường,27,1,Cả hai,,Liên hệ đường dây nóng 19006610 để biết thêm về cách nhận thưởng.
343,Mặt nạ fasshon,Mặt nạ,11,30,Nam,,Dùng để thay đổi diện mạo
344,Mặt nạ kinmou,Mặt nạ,11,40,Nam,,Dùng để thay đổi diện mạo
345,Mặt nạ fasshon,Mặt nạ,11,30,Nữ,,Dùng để thay đổi diện mạo
346,Mặt nạ kinmou,Mặt nạ,11,40,Nữ,,Dùng để thay đổi diện mạo
347,Cây nấm,Vật phẩm nhiệm vụ,25,1,Cả hai,,Vật phẩm nhiệm vụ
348,Oan hồn,Vật phẩm nhiệm vụ,25,1,Cả hai,,Vật phẩm nhiệm vụ
349,Lồng đèn ma,Vật phẩm nhiệm vụ,25,1,Cả hai,,Vật phẩm nhiệm vụ
350,Cánh bướm,Vật phẩm nhiệm vụ,25,1,Cả hai,,Vật phẩm nhiệm vụ
351,Mũ noel,Mặt nạ,11,10,Nam,,Dùng để thay đổi diện mạo
352,Mũ noel,Mặt nạ,11,10,Nữ,,Dùng để thay đổi diện mạo
353,Mũ thời trang,Mặt nạ,11,10,Nam,,Dùng để thay đổi diện mạo
354,Mũ thời trang,Mặt nạ,11,10,Nữ,,Dùng để thay đổi diện mạo
355,Bạch ngân Ngoa,Giày,8,71,Nam,,
356,Bùa Bạch ngân,Bùa,9,72,Cả hai,,
357,Bạch ngân Hạ Giáp,Quần,6,73,Nam,,
358,Bạch ngân Bội,Ngọc bội,7,74,Cả hai,,
359,Bạch ngân Thủ,Găng tay,4,75,Nam,,
360,Nhẫn Bạch ngân,Nhẫn,5,76,Cả hai,,
361,Bạch ngân Thượng Giáp,Áo,2,77,Nam,,
362,Dây Chuyền Bạch ngân,Dây chuyền,3,78,Cả hai,,
363,Bạch ngân Tuyến,Nón,0,79,Nam,,
364,Bạch ngân Ngoa,Giày,8,71,Nữ,,
365,Bạch ngân Hạ Giáp,Quần,6,73,Nữ,,
366,Bạch ngân Thủ,Găng tay,4,75,Nữ,,
367,Bạch ngân Thượng Giáp,Áo,2,77,Nữ,,
368,Bạch ngân Trâm,Nón,0,79,Nữ,,
369,Thiên hỏa kiếm,Vũ khí,1,70,Cả hai,,
370,Hỏa phong tiêu,Vũ khí,1,70,Cả hai,,
371,Thủy chấn dao,Vũ khí,1,70,Cả hai,,
372,Băng thần cung,Vũ khí,1,70,Cả hai,,
373,Đồ thần đao,Vũ khí,1,70,Cả hai,,
374,Âm dương quạt,Vũ khí,1,70,Cả hai,,
375,Sách võ công Maajizangeki,Vật phẩm thường,27,70,Cả hai,,
376,Sách võ công Baaningufukiya,Vật phẩm thường,27,70,Cả hai,,
377,Sách võ công Furiizukatto,Vật phẩm thường,27,70,Cả hai,,
378,Sách võ công Furoozunkyuusen,Vật phẩm thường,27,70,Cả hai,,
379,Sách võ công Baasutosutoomu,Vật phẩm thường,27,70,Cả hai,,
380,Sách võ công Kougekitenrai,Vật phẩm thường,27,70,Cả hai,,
381,Bao lì xì nhỏ,Vật phẩm thường,27,20,Cả hai,,
382,Bao lì xì lớn,Vật phẩm thường,27,20,Cả hai,,
383,Bát bảo,Vật phẩm thường,27,20,Cả hai,,Sau khi sử dụng sẽ ra ngẫu nhiên trang bị+12
384,Rương bạch ngân,Vật phẩm thường,27,20,Cả hai,,Sau khi sử dụng sẽ ra ngẫu nhiên trang bị+14
385,Rương Huyền bí,Vật phẩm thường,27,20,Cả hai,,Sau khi sử dụng sẽ ra ngẫu nhiên trang bị+16
386,Hoa hồng đỏ,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện 8/3
387,Hoa hồng vàng,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện 8/3
388,Hoa hồng xanh,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện 8/3
389,Bó hoa hồng đỏ,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện 8/3
390,Bó hoa hồng vàng,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện 8/3
391,Bó hoa hồng xanh,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện 8/3
392,Giỏ hoa 8/3,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện 8/3
393,Giấy màu,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện 8/3
394,Ruy băng,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện 8/3
395,Khung tre,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện 8/3
396,Thẻ bài gia tộc,Vật phẩm thường,27,20,Cả hai,,Dùng trong hoạt động gia tộc
397,Bí kíp Kiếm Thuật,Bí kíp,15,60,Cả hai,,Nâng cao kỹ năng chiêu thức môn phái
398,Bí kíp Tiêu Thuật,Bí kíp,15,60,Cả hai,,Nâng cao kỹ năng chiêu thức môn phái
399,Bí kíp Kunai,Bí kíp,15,60,Cả hai,,Nâng cao kỹ năng chiêu thức môn phái
400,Bí kíp Cung,Bí kíp,15,60,Cả hai,,Nâng cao kỹ năng chiêu thức môn phái
401,Bí kíp Đao,Bí kíp,15,60,Cả hai,,Nâng cao kỹ năng chiêu thức môn phái
402,Bí kíp Quạt,Bí kíp,15,60,Cả hai,,Nâng cao kỹ năng chiêu thức môn phái
403,Mặt nạ Vegeta,Mặt nạ,11,40,Nam,,Giúp thay đổi diện mạo
404,Mặt nạ Kunoichi,Mặt nạ,11,40,Nữ,,Giúp thay đổi diện mạo
405,Mặt nạ Broly,Mặt nạ,11,40,Nam,,Giúp thay đổi diện mạo
406,Mặt nạ Buruma,Mặt nạ,11,40,Nữ,,Giúp thay đổi diện mạo
407,Mặt nạ Super Broly,Mặt nạ,11,40,Nam,,Giúp thay đổi diện mạo
408,Mặt nạ Onna Bugeisha,Mặt nạ,11,40,Nữ,,Giúp thay đổi diện mạo
409,Gà Tây,Đồ ăn,18,60,Cả hai,,"Nữa giây phục hồi 150 HP, MP duy trì 1 ngày"
410,Tôm hùm,Đồ ăn,18,70,Cả hai,,"Nữa giây phục hồi 200 HP, MP duy trì 1 ngày"
411,Cây kẹo mút,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện 1/6
412,Hộp bánh ngọt,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện 1/6
413,Quả bong bóng,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện 1/6
414,Giấy giới thiệu,Vật phẩm thường,27,20,Cả hai,,Khi sử dụng sẽ tăng số lần nhận nhiệm vụ tìm trẻ lạc
415,Huy hiệu,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện 1/6
416,Nấm thần kỳ,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện 1/6
417,Ngôi sao nhỏ,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện 1/6
418,Ngôi sao may mắn,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện 1/6
419,Chim tinh anh,Thú nuôi,10,20,Cả hai,,Hỗ trợ tấn công quái
420,Faiyaa yoroi,Áo choàng,12,70,Cả hai,,
421,Mizu Yoroi,Áo choàng,12,70,Cả hai,,
422,Windo Yoroi,Áo choàng,12,70,Cả hai,,
423,Nhẫn thuật gia tộc cấp 1,Bao tay,13,10,Cả hai,,Sau khi gia tộc đã khai mở vật phẩm này thì mới được phép mua sử dụng.
424,Nhẫn thuật gia tộc cấp 2,Bao tay,13,20,Cả hai,,Sau khi gia tộc đã khai mở vật phẩm này thì mới được phép mua sử dụng.
425,Nhẫn thuật gia tộc cấp 3,Bao tay,13,30,Cả hai,,Sau khi gia tộc đã khai mở vật phẩm này thì mới được phép mua sử dụng.
426,Nhẫn thuật gia tộc cấp 4,Bao tay,13,40,Cả hai,,Sau khi gia tộc đã khai mở vật phẩm này thì mới được phép mua sử dụng.
427,Nhẫn thuật gia tộc cấp 5,Bao tay,13,50,Cả hai,,Sau khi gia tộc đã khai mở vật phẩm này thì mới được phép mua sử dụng.
428,Tre,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện ngày hè
429,Dây,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện ngày hè
430,Giấy,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện ngày hè
431,Vải,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện ngày hè
432,Màu vẽ thô sơ,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện ngày hè
433,Màu vẽ cao cấp,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện ngày hè
434,Diều giấy,Vật phẩm thường,27,10,Cả hai,,Vật phẩm sự kiện ngày hè
435,Diều vải,Vật phẩm thường,27,10,Cả hai,,Vật phẩm sự kiện ngày hè
436,Thẻ bài kinh nghiệm gia tộc sơ,Vật phẩm thường,27,20,Cả hai,,Yêu cầu gia tộc phải đạt trình độ cấp 5 trở lên
437,Thẻ bài kinh nghiệm gia tộc trung,Vật phẩm thường,27,20,Cả hai,,Yêu cầu gia tộc phải đạt trình độ cấp 10 trở lên
438,Thẻ bài kinh nghiệm gia tộc cao,Vật phẩm thường,27,20,Cả hai,,Yêu cầu gia tộc phải đạt trình độ cấp 15 trở lên
439,Thú trang,Nguyên liệu 0,29,10,Cả hai,,
440,Giáp thú,Nguyên liệu 1,30,10,Cả hai,,
441,Yên,Nguyên liệu 2,31,10,Cả hai,,
442,Dây cương,Nguyên liệu 3,32,10,Cả hai,,
443,Xích Nhãn Ngân Lang,Nguyên liệu 4,33,10,Cả hai,,
444,Linh Lang Thảo,Vật phẩm thường,27,10,Cả hai,,"Thức ăn thú cưỡi, tăng 200 hp cho thú cưỡi"
445,Chữ Vui,Vật phẩm thường,27,20,Cả hai,,"Tích lũy đủ 10 chữ vui, 10 chữ tết, 10 chữ trung, 10 chữ thu sẽ đổi được thú cưỡi"
446,Chữ Tết,Vật phẩm thường,27,20,Cả hai,,"Tích lũy đủ 10 chữ vui, 10 chữ tết, 10 chữ trung, 10 chữ thu sẽ đổi được thú cưỡi"
447,Chữ Trung,Vật phẩm thường,27,20,Cả hai,,"Tích lũy đủ 10 chữ vui, 10 chữ tết, 10 chữ trung, 10 chữ thu sẽ đổi được thú cưỡi"
448,Chữ Thu,Vật phẩm thường,27,20,Cả hai,,"Tích lũy đủ 10 chữ vui, 10 chữ tết, 10 chữ trung, 10 chữ thu sẽ đổi được thú cưỡi"
449,Lang hồn thảo,Vật phẩm thường,27,20,Cả hai,,Tăng 5 kinh nghiệm thú cưỡi
450,Lang hồn mộc,Vật phẩm thường,27,20,Cả hai,,Tăng 7 kinh nghiệm thú cưỡi
451,Địa lang thảo,Vật phẩm thường,27,20,Cả hai,,Tăng 14 kinh nghiệm thú cưỡi
452,Tam lục diệp,Vật phẩm thường,27,20,Cả hai,,Tăng 20 kinh nghiệm thú cưỡi
453,Xích lan hoa ,Vật phẩm thường,27,20,Cả hai,,Tăng 25 kinh nghiệm thú cưỡi
454,Chuyển tinh thạch,Vật phẩm thường,27,20,Cả hai,,Ẩn chứa tinh hoa của trời đất
455,Tử tinh thạch sơ cấp,Vật phẩm thường,27,20,Cả hai,,
456,Tử tinh thạch trung cấp,Vật phẩm thường,27,20,Cả hai,,
457,Tử tinh thạch cao cấp,Vật phẩm thường,27,20,Cả hai,,
458,Kẹo ngọt,Vật phẩm thường,27,20,Cả hai,,Vật phẩm trong chiến trường Kẹo
459,Kẹo đỏ,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện
460,Kẹo xanh,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện
461,Kẹo vàng,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện
462,Kẹo tím,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện
463,Giỏ tre,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện
464,Giỏ bí ngô,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện
465,Giỏ kẹo,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện
466,Giỏ kẹo bí ngô,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện
467,Bí ngô mặt quỷ nhỏ,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện
468,Bí ngô mặt quỷ lớn,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện
469,Xăng A95,Vật phẩm thường,27,20,Cả hai,,Tăng 200 nhiên liệu cho xe moto
470,Bộ cải thiện giảm xóc,Vật phẩm thường,27,20,Cả hai,,Tăng 5 hiệu năng Xe moto
471,Bộ cải thiện đánh lửa,Vật phẩm thường,27,20,Cả hai,,Tăng 14 hiệu năng Xe moto
472,Bộ cải thiện động cơ,Vật phẩm thường,27,20,Cả hai,,Tăng 25 hiệu năng Xe moto
473,Xăng cấp 5,Vật phẩm thường,27,20,Cả hai,,
474,Diệt quỷ phù,Vật phẩm thường,27,20,Cả hai,,Cất giữ sức mạnh có thể tiêu diệt Bí ngô mặt quỷ
475,Bảo hiểm như ý,Bảo vệ,28,1,Cả hai,,Bảo hiểm nâng cấp trang bị từ cấp 1 đến cấp 16
476,Rương kẹo,Vật phẩm thường,27,20,Cả hai,,Chứa nhiều vật phẩm quý giá
477,Túi quà noel,Vật phẩm thường,27,1,Cả hai,,
478,Hộp quà noel,Vật phẩm thường,27,20,Cả hai,,
479,Thư đảm bảo,Vật phẩm thường,27,20,Cả hai,,
480,Thiệp giáng sinh,Vật phẩm thường,27,20,Cả hai,,
481,Trái châu,Vật phẩm thường,27,20,Cả hai,,
482,Dây kim tuyến,Vật phẩm thường,27,20,Cả hai,,
483,Chiếc kẹo gậy,Vật phẩm thường,27,20,Cả hai,,
484,Bít tất may mắn,Vật phẩm thường,27,20,Cả hai,,
485,Xe máy,Nguyên liệu 4,33,50,Cả hai,,
486,Bộ điều khiển,Nguyên liệu 0,29,10,Cả hai,,
487,Động cơ V- Power,Nguyên liệu 1,30,10,Cả hai,,
488,Định vị,Nguyên liệu 2,31,10,Cả hai,,
489,Bình Nitro,Nguyên liệu 3,32,10,Cả hai,,
490,Cổ lệnh,Vật phẩm thường,27,70,Cả hai,,Dùng để dịch chuyển đến ngôi làng trong truyền thuyết
491,Nhiệm vụ bí ẩn,Vật phẩm thường,27,60,Cả hai,,"Sử dụng sẽ nhận được một nhiệm vụ ngẫu nhiên, chỉ dành cho ninja cấp độ 60 - 89."
492,Hắc Tử Tuyến,Nón,0,85,Nam,,
493,Hắc Tử Trâm,Nón,0,85,Nữ,,
494,Hắc Tử Thượng Giáp,Áo,2,85,Nam,,
495,Hắc Tử Thượng Giáp,Áo,2,85,Nữ,,
496,Hắc Tử Hạ Giáp,Quần,6,85,Nam,,
497,Hắc Tử Hạ Giáp,Quần,6,85,Nữ,,
498,Hắc Tử Thủ,Găng tay,4,85,Nam,,
499,Hắc Tử Thủ,Găng tay,4,85,Nữ,,
500,Hắc Tử Ngoa,Giày,8,85,Nam,,
501,Hắc Tử Ngoa,Giày,8,85,Nữ,,
502,Bùa Hắc Tử,Bùa,9,85,Cả hai,,
503,Hắc Tử Bội,Ngọc bội,7,85,Cả hai,,
504,Nhẫn Hắc Tử,Nhẫn,5,85,Cả hai,,
505,Dây Chuyền Hắc Tử,Dây chuyền,3,85,Cả hai,,
506,Huyết Ẩm Kiếm,Vũ khí,1,80,Cả hai,,
507,Thiêu Thủy Tiêu,Vũ khí,1,80,Cả hai,,
508,Lệ Hàn Dao,Vũ khí,1,80,Cả hai,,
509,Đại Hàn Cung,Vũ khí,1,80,Cả hai,,
510,Diệt Ma Đao,Vũ khí,1,80,Cả hai,,
511,Linh Phong Quạt,Vũ khí,1,80,Cả hai,,
512,Mũ Hắc Tử,Mặt nạ,11,85,Nam,,Giúp thay đổi diện mạo
513,Mũ Hắc Tử,Mặt nạ,11,85,Nữ,,Giúp thay đổi diện mạo
514,Thiệp chúc tết,Vật phẩm thường,27,20,Cả hai,,Nhắn gởi yêu thương
515,Thiệp chúc tết đặc biệt,Vật phẩm thường,27,20,Cả hai,,"Cùng chung niềm vui, sẻ chia nụ cười."
516,Sung,Vật phẩm thường,27,20,Cả hai,,Item sự kiện Tết nguyên đán 2015
517,Xoài,Vật phẩm thường,27,20,Cả hai,,Item sự kiện Tết nguyên đán 2015
518,Đu đủ,Vật phẩm thường,27,20,Cả hai,,Item sự kiện Tết nguyên đán 2015
519,Dừa,Vật phẩm thường,27,20,Cả hai,,Item sự kiện Tết nguyên đán 2015
520,Mãng cầu,Vật phẩm thường,27,20,Cả hai,,Item sự kiện Tết nguyên đán 2015
521,Mâm ngũ quả nhỏ,Vật phẩm thường,27,20,Cả hai,,Item sự kiện Tết nguyên đán 2015
522,Mâm ngũ quả lớn,Vật phẩm thường,27,20,Cả hai,,Item sự kiện Tết nguyên đán 2015
523,Huyết Sắc Hung Lang,Nguyên liệu 4,33,20,Cả hai,,
524,Harley Davidson,Nguyên liệu 4,33,60,Cả hai,,Xe dành cho những ninja đích thực
525,100 ván gạo nếp,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện Giổ tổ 2015
526,100 nệp bánh chưng,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện Giổ tổ 2015
527,Voi 9 ngà,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện Giổ tổ 2015
528,Gà 9 cựa,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện Giổ tổ 2015
529,Ngựa 9 hồng mao,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện Giổ tổ 2015
530,Linh thạch,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện Giổ tổ 2015
531,Mâm bạc,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện Giổ tổ 2015
532,Mâm vàng,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện Giổ tổ 2015
533,Mâm lễ vật bạc,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện Giổ tổ 2015
534,Mâm lễ vật vàng,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sự kiện Giổ tổ 2015
535,Lang bảo,Vật phẩm thường,27,60,Cả hai,,Sử dụng nhận được một vật phẩm ngẫu nhiên của Lang tộc.
536,Khí bảo,Vật phẩm thường,27,60,Cả hai,,Sử dụng có cơ hội nhận được vật phẩm quý.
537,Khai nhãn phù,Vật phẩm thường,27,60,Cả hai,,Tăng tỉ lệ ra đồ quý khi đánh quái.
538,Thiên nhãn phù,Vật phẩm thường,27,60,Cả hai,,Tăng tỉ lệ ra đồ quý khi đánh quái.
539,Linh Chi Ngàn Năm,Vật phẩm thường,27,50,Cả hai,,Sử dụng sẽ được nhân ba kinh nghiệm trong vòng 60 phút. Không cộng dồn.
540,Linh Chi Vạn Năm,Vật phẩm thường,27,50,Cả hai,,Sử dụng sẽ được nhân bốn kinh nghiệm trong vòng 60 phút. Không cộng dồn
541,Thủy tinh,Mặt nạ,11,50,Cả hai,,Sử dụng giúp thay đổi diện mạo
542,Sơn tinh,Mặt nạ,11,50,Cả hai,,Sử dụng giúp thay đổi diện mạo
543,Thủy lệnh,Vật phẩm thường,27,30,Cả hai,,Nhận lệnh tiêu diệt Sơn tinh
544,Sơn lệnh,Vật phẩm thường,27,30,Cả hai,,Nhận lệnh tiêu diệt Thủy tinh
545,Phân thân lệnh,Vật phẩm thường,27,90,Cả hai,,Sở hữu vật phẩm này cho phép triệu hồi phân thân
546,Nhân sâm vạn năm,Vật phẩm thường,27,40,Cả hai,,Sử dụng sẽ được x2 kinh nghiệm trong 2 tiếng. Sử dụng cùng Nấm linh chi sẽ được x4.
547,Sách võ công Kage Bunshin ,Vật phẩm thường,27,90,Cả hai,, 
548,Cần câu vàng,Vật phẩm thường,27,20,Cả hai,,Sử dụng tại sông hồ sẽ câu được phần thưởng bất ngờ.
549,Giày rách,Vật phẩm thường,27,10,Cả hai,,Sử dụng sẽ nhận được một ít Yên.
550,Giày bạc,Vật phẩm thường,27,10,Cả hai,,Sử dụng sẽ nhận được Yên.
551,Giày vàng,Vật phẩm thường,27,10,Cả hai,,Sử dụng sẽ nhận được một số Yên ngẫu nhiên.
552,Sách võ công Ikkakujuu ,Vật phẩm thường,27,80,Cả hai,,
553,Sách võ công Hibashiri,Vật phẩm thường,27,80,Cả hai,,
554,Sách võ công Saihyoken,Vật phẩm thường,27,80,Cả hai,,
555,Sách võ công Aisu Meiku,Vật phẩm thường,27,80,Cả hai,,
556,Sách võ công Kaminari,Vật phẩm thường,27,80,Cả hai,,
557,Sách võ công Kokaze,Vật phẩm thường,27,80,Cả hai,,
558,Sách võ công Enko Bakusatsu,Vật phẩm thường,27,100,Cả hai,,
559,Sách võ công Tsumabeni,Vật phẩm thường,27,100,Cả hai,,
560,Sách võ công Shabondama,Vật phẩm thường,27,100,Cả hai,,
561,Sách võ công Kogoraseru,Vật phẩm thường,27,100,Cả hai,,
562,Sách võ công Raijin,Vật phẩm thường,27,100,Cả hai,,
563,Sách võ công Kamikaze,Vật phẩm thường,27,100,Cả hai,,
564,Thí Luyện Thiếp,Vật phẩm thường,27,60,Cả hai,,Sử dụng sẽ được phiêu lưu 2 giờ trong Vùng Đất Ma Quỷ. Cộng dồn tối đa 10 giờ.
565,Bình HP Cao Cấp,Thuốc HP,16,90,Cả hai,,"Nữa giây phục hồi 1500 HP, duy trì 3 giây."
566,Bình MP Cao Cấp,Thuốc MP,17,90,Cả hai,,Phục hồi 5000 MP.
567,Haggis,Đồ ăn,18,90,Cả hai,,"Nữa giây phục hồi 300 HP, MP duy trì 1 ngày"
568,Lồng đèn tròn,Thú nuôi,10,40,Cả hai,, 
569,Lồng đèn cá chép,Thú nuôi,10,40,Cả hai,, 
570,Lồng đèn ngôi sao,Thú nuôi,10,40,Cả hai,, 
571,Lồng đèn mặt trăng,Thú nuôi,10,40,Cả hai,, 
572,Thiên biến lệnh,Vật phẩm thường,27,20,Cả hai,,Sử dụng để di chuyển mượt
573,Lục thanh hoa,Vật phẩm thường,27,50,Cả hai,,Tăng 200 điểm kinh nghiệm cho thú cưỡi.
574,Tử linh liên hoa,Vật phẩm thường,27,60,Cả hai,,Tăng 400 điểm kinh nghiệm cho thú cưỡi.
575,Linh lang hồ điệp,Vật phẩm thường,27,70,Cả hai,,Tăng 600 điểm kinh nghiệm cho thú cưỡi.
576,Bánh răng,Vật phẩm thường,27,50,Cả hai,,Tăng 100 điểm hiệu năng cho Xe máy.
577,IK,Vật phẩm thường,27,60,Cả hai,,Tăng 250 điểm hiệu năng cho Xe máy.
578,Thuốc cải tiến,Vật phẩm thường,27,70,Cả hai,,Tăng 500 điểm hiệu năng cho Xe máy.
579,Giấy Cứng,Vật phẩm thường,27,20,Cả hai,,Vật phẩm Sự kiện Tết 
580,Dây Mồi,Vật phẩm thường,27,20,Cả hai,,Vật phẩm Sự kiện Tết 
581,Thuốc,Vật phẩm thường,27,20,Cả hai,,Vật phẩm Sự kiện Tết 
582,Pháo Hoa,Vật phẩm thường,27,20,Cả hai,,Vật phẩm Sự kiện Tết 2016
583,Hỏa long,Thú nuôi,10,70,Cả hai,, 
584,Hải mã cấp 1,Thú nuôi,10,70,Cả hai,, 
585,Hải mã cấp 2,Thú nuôi,10,70,Cả hai,, 
586,Hải mã cấp 3,Thú nuôi,10,70,Cả hai,, 
587,Dị Long cấp 1,Thú nuôi,10,70,Cả hai,, 
588,Dị Long cấp 2,Thú nuôi,10,70,Cả hai,, 
589,Dị Long cấp 3,Thú nuôi,10,70,Cả hai,, 
590,Đốt tre xanh,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sử dụng trong sự kiện Giổ tổ 2017
591,Đốt tre vàng,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sử dụng trong sự kiện Giổ tổ 2017
592,Tre xanh trăm đốt,Vật phẩm thường,27,20,Cả hai,,Về làng Tone gặp Vua Hùng
593,Tre vàng trăm đốt,Vật phẩm thường,27,20,Cả hai,,Về làng Tone gặp Vua Hùng
594,Mặt nạ Thánh Gióng ,Mặt nạ,11,50,Cả hai,,Sử dụng có thể hóa thân thành Thánh gióng.
595,Tín vật,Vật phẩm thường,27,20,Cả hai,,Vật phẩm sử dụng trong sự kiện Giổ tổ 2017
596,Trứng Dị Long,Vật phẩm thường,27,60,Cả hai,,Sau 1 giờ sẽ nở ra một Dị long con.
597,Vạn Ngư Câu,Vật phẩm thường,27,60,Cả hai,,Sử dụng để câu cá tại làng chài.
598,Huyết long ngư,Vật phẩm thường,27,60,Cả hai,,Thức ăn ưa thích của thần thú.
599,Tuyết sa ngư,Vật phẩm thường,27,60,Cả hai,,Loài cá quý hiếm giúp thần thú mau chóng trưởng thành.
600,Linh tâm ngư,Vật phẩm thường,27,60,Cả hai,,Là loài cá cổ rất hiếm ở làng Chài.
601,Trứng Hải Mã,Vật phẩm thường,27,60,Cả hai,,Sau 1 giờ sẽ nở ra một Hải mã con.
602,Dế Cơm,Vật phẩm thường,27,60,Cả hai,,Mồi câu cá.
603,Giun Đất,Vật phẩm thường,27,60,Cả hai,,Mồi câu cá.
604,Triệu Hồi Thú Thần,Vật phẩm thường,27,60,Cả hai,,Sử dụng để gọi ra thần thú giá tộc.
605,Tiến Hóa Đan,Vật phẩm thường,27,60,Cả hai,,Có xác suất giúp thần thú tiến hóa.
606,Bí Ma,Vật phẩm thường,27,30,Cả hai,,Item sự kiện Halloween
607,Xương Thú,Vật phẩm thường,27,30,Cả hai,,Item sự kiện Halloween
608,Tàn Linh,Vật phẩm thường,27,30,Cả hai,,Item sự kiện Halloween
609,Quả Táo,Vật phẩm thường,27,30,Cả hai,,Item sự kiện Halloween
610,Mật Ong,Vật phẩm thường,27,30,Cả hai,,Item sự kiện Halloween
611,Kẹo Táo,Vật phẩm thường,27,30,Cả hai,,Item sự kiện Halloween
612,Hộp Ma Quỷ,Vật phẩm thường,27,30,Cả hai,,Item sự kiện Halloween
613,Mặt nạ Jiraiya ,Mặt nạ,11,60,Nam,,Sử dụng để thay đổi diện mạo
614,Mặt nạ Konan,Mặt nạ,11,60,Nữ,,Sử dụng để thay đổi diện mạo
615,Mặt nạ Deidara,Mặt nạ,11,80,Nữ,,Sử dụng để thay đổi diện mạo
616,Mặt nạ Tobi,Mặt nạ,11,80,Nam,,Sử dụng để thay đổi diện mạo
