ID,Tên,Cấp món,Nhóm,STT khi NV cấp 40,STT khi NV cấp 60,STT khi NV cấp 80,STT khi NV cấp 100,STT khi NV cấp 103,STT khi NV cấp 109
630,Thái Dương Cốt Ngọc Giới,96,cấp 90+,,,,398,398,398
620,Thái Dương Cốt Ngọc Giáp,97,cấp 90+,,,,399,399,399
621,Thái Dương Cốt Ngọc Giáp,97,cấp 90+,,,,400,400,400
631,Thái Dương Cốt Ngọc Liên,98,cấp 90+,,,,401,401,401
618,Thái Dương Cốt Ngọc Tuyến,99,cấp 90+,,,,402,402,402
619,Thái Dương Cốt Ngọc Trâm,99,cấp 90+,,,,403,403,403
1110,Thiên Vương Liên ,100,cấp 90+,,,,404,404,404
1111,Thiên Vương Vô Cực Kiếm,100,cấp 90+,,,,405,405,405
1112,Thiên Vương Thiên Hỏa Tiêu,100,cấp 90+,,,,406,406,406
1113,Thiên Vương Táng Hồn Dao,100,cấp 90+,,,,407,407,407
1114,Thiên Vương Băng Thần Cung,100,cấp 90+,,,,408,408,408
1115,Thiên Vương Chiến Lục Đao,100,cấp 90+,,,,409,409,409
1116,Thiên Vương Hoàng Phong Phiến,100,cấp 90+,,,,410,410,410
1104,Thiên Vương Thủ,101,cấp 90+,,,,,411,411
1105,Thiên Vương Ngoa,101,cấp 90+,,,,,412,412
1171,Minh Giác Cốt Ngọc Ngoa,101,cấp 90+,,,,,413,413
1172,Minh Giác Cốt Ngọc Ngoa,101,cấp 90+,,,,,414,414
1106,Thiên Vương Ngoa,102,cấp 90+,,,,,415,415
1173,Minh Giác Cốt Ngọc Phù,102,cấp 90+,,,,,416,416
1100,Thiên Vương Giáp Thượng,103,cấp 90+,,,,,417,417
1101,Thiên Vương Giáp Hạ,103,cấp 90+,,,,,418,418
1167,Minh Giác Cốt Ngọc Hạ Giáp,103,cấp 90+,,,,,419,419
1168,Minh Giác Cốt Ngọc Hạ Giáp,103,cấp 90+,,,,,420,420
1107,Thiên Vương Phù,104,cấp 90+,,,,,,421
1174,Minh Giác Cốt Ngọc Bội,104,cấp 90+,,,,,,422
1102,Thiên Vương Giáp Hạ,105,cấp 90+,,,,,,423
1103,Thiên Vương Thủ,105,cấp 90+,,,,,,424
1169,Minh Giác Cốt Ngọc Thủ,105,cấp 90+,,,,,,425
1170,Minh Giác Cốt Ngọc Thủ,105,cấp 90+,,,,,,426
1108,Thiên Vương Bội,106,cấp 90+,,,,,,427
1175,Minh Giác Cốt Ngọc Giới,106,cấp 90+,,,,,,428
1098,Thiên Vương Tuyến,107,cấp 90+,,,,,,429
1099,Thiên Vương Giáp Thượng,107,cấp 90+,,,,,,430
1165,Minh Giác Cốt Ngọc Giáp,107,cấp 90+,,,,,,431
1166,Minh Giác Cốt Ngọc Giáp,107,cấp 90+,,,,,,432
1109,Thiên Vương Giới,108,cấp 90+,,,,,,433
1176,Minh Giác Cốt Ngọc Liên,108,cấp 90+,,,,,,434
1097,Thiên Vương Tuyến,109,cấp 90+,,,,,,435
1163,Minh Giác Cốt Ngọc Tuyến,109,cấp 90+,,,,,,436
1164,Minh Giác Cốt Ngọc Trâm,109,cấp 90+,,,,,,437
